"TITRE";"ID";"CODE";"NOM_SOURCE";"AUTEUR";"CRITIQUE";"NOTE"
"ASSASSIN'S CREED";"584";"40041887";"aVoir-aLire.com";"Frédéric Mignard";"Justin Kurzel réussit l’exploit d’adapter Ubisoft comme il a adapté Shakespeare, et délivre un hybride certes raté mais enthousiasmant d’audaces dans le domaine du blockbuster.";"3"
"ASSASSIN'S CREED";"585";"40041875";"Le Figaro";"Etienne Sorin";"""Assassin's Creed"", dans le genre Mad Max moyenâgeux et hispanisant, se laisse regarder dans ses trop rares scènes d'action, courses-poursuites acrobatiques sur les toits de Séville, avec force roulades et sauts périlleux. Sinon, on n'espère qu'une chose: lire game over au milieu de l'écran.";"2"
"ASSASSIN'S CREED";"586";"40041981";"Ecran Large";"Simon Riaux";"Ubisoft avait l'occasion de rompre la malédiction des adaptations de jeux vidéo, mais nous offre le plus spectaculaire ratage de 2016.";"1"
"ASSASSIN'S CREED";"587";"40041952";"Le Journal du Dimanche";"Stéphanie Belpêche";"Très à l’aise dans le registre du film d’époque (...) Justin Kurzel (...) multiplie les plans vertigineux au cours de scènes d’action trépidantes, façonnant un univers visuel soigné très fidèle au jeu. Le déséquilibre survient avec le segment contemporain, beaucoup plus prévisible et par conséquent moins intéressant.";"3"
"ASSASSIN'S CREED";"588";"40041826";"Ouest France";"Gilles Kerdreux";"L’adaptation du jeu vidéo Assassin's Creed au cinéma est réussie. C’est efficace, les images sont impressionnantes et Michael Fassbender a trouvé le ton.";"4"
"ASTÉRIX - LE SECRET DE LA POTION MAGIQUE";"589";"40066476";"Positif";"Bernard Génin";"[Alexandre Astier] a su pimenter l'action de quelques anachronismes typiquement ""goscinniens (droit des femmes, réchauffement climatique). Quant à l'animation, le réalisateur Louis Clichy ayant fait un passage à Pixar, elle est parfaite.";"4"
"ASTÉRIX - LE SECRET DE LA POTION MAGIQUE";"590";"40065174";"Le Journal du Dimanche";"Stéphanie Belpêche";"On reconnaît la plume de l’auteur de ""Kaamelott"" dans l’écriture des dialogues et gags savoureux, de quoi oublier une intrigue un peu mince.";"3"
"ASTÉRIX - LE SECRET DE LA POTION MAGIQUE";"591";"40065219";"IGN France";"Erwan Lafleuriel";"La formule des films Astérix revisitée et améliorée. C'est clairement à Astier qu'il fallait livrer le secret, le résultat est surhumain.";"5"
"ASTÉRIX - LE SECRET DE LA POTION MAGIQUE";"592";"40065278";"La Croix";"Stéphane Dreyfus";"Mais le film manque de relief, et parfois de sel quand il s’agit d’imaginer des héritiers à Panoramix, occasion en or de célébrer les particularismes et les accents locaux dont se régalait René Goscinny. (...) Restent une animation alerte et dynamique doublé d’un doublage de grande qualité (...).";"3"
"ASTÉRIX - LE SECRET DE LA POTION MAGIQUE";"593";"40065151";"Le Parisien";"La Rédaction";"On rit beaucoup dans cet « Astérix » en animation, à la fois très respectueux de l’esprit d’Uderzo et Goscinny et très marqué par l’humour malin d’Astier.";"4"
